Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1521,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,1998,22.1,718,621,92,37,2,7,82,10,43,15,22,0,543,5,17,Matches
1522,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,1997,5.6,130,113,17,0,0,0,8,15,2,2,0,0,84,0,6,Matches
1523,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,1993,1.0,16,16,0,0,0,0,1,0,0,0,0,0,10,0,1,Matches
1524,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,8.6,136,120,15,0,0,0,4,0,0,0,0,0,98,1,4,Matches
1525,Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,17.1,807,632,169,14,2,4,72,145,10,6,2,0,595,6,14,Matches
1526,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,28.8,454,432,18,0,0,3,8,2,0,0,0,0,271,4,15,Matches
1527,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,1998,24.6,1857,1771,84,57,0,13,1,16,0,0,0,0,1734,2,8,Matches
1528,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,19.9,1062,851,206,24,1,11,82,182,0,0,0,0,801,5,28,Matches
1529,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,11.6,214,204,7,0,1,2,10,0,0,0,0,0,154,3,9,Matches
1530,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,1990,0.3,32,31,1,1,0,0,0,0,0,0,0,0,25,0,0,Matches
1531,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,33.3,2101,1857,237,129,11,13,115,6,100,61,7,2,1800,7,21,Matches
1532,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,29.3,621,574,40,0,0,1,13,0,0,0,0,0,438,7,26,Matches
1533,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,24.3,1885,1839,45,34,1,10,5,5,0,0,0,0,1726,1,12,Matches
1534,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,1997,12.5,351,337,11,4,1,4,36,2,2,1,1,0,269,3,16,Matches
1535,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,1996,12.5,496,472,21,15,4,1,4,0,0,0,0,0,428,3,7,Matches
1536,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27,1996,0.2,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
1537,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21.0,666,531,133,17,0,1,0,0,0,0,0,0,580,2,2,Matches
1538,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,37.8,1785,1657,122,71,2,8,12,33,0,0,0,0,1455,6,10,Matches
