Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
970,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,eng Premier League,23,2000,35.1,9,0,0,37,57,6,182,17,24,0,0,0,179,60,68,46.9,Matches
971,Samuel Gigot,fr FRA,DF,Marseille,fr Ligue 1,29,1993,19.2,7,1,0,21,14,1,6,25,22,0,1,0,80,47,16,74.6,Matches
972,Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22,2001,2.3,0,0,0,2,3,1,11,3,0,0,0,0,16,0,3,0.0,Matches
973,David Gil,es ESP,GK,Cádiz,es La Liga,29,1994,4.1,1,0,0,0,2,0,0,0,0,0,0,0,2,4,0,100.0,Matches
974,Mario Gila,es ESP,DF,Lazio,it Serie A,22,2000,20.1,4,1,1,21,23,1,8,20,14,0,0,0,109,29,43,40.3,Matches
975,Alfie Gilchrist,eng ENG,DF,Chelsea,eng Premier League,19,2003,2.3,1,0,0,4,0,0,1,3,0,0,0,0,9,2,4,33.3,Matches
976,Ryan Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,23,2000,5.6,0,0,0,2,2,0,49,4,6,0,0,0,21,3,0,100.0,Matches
977,Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,22,2001,23.6,8,1,0,22,30,0,34,11,16,0,0,0,132,11,20,35.5,Matches
978,Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,26,1997,22.5,9,0,0,40,27,0,3,16,24,0,2,1,87,48,41,53.9,Matches
979,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,19,2004,6.0,2,0,0,9,3,0,22,4,7,0,0,0,37,7,5,58.3,Matches
